GO Term,LL, log_mu, log_sigma, misid, Converged,step size 0.1,step size 0.01,step size 0.001,GO Term Name
9987.0, -629.772, 8.012, 6.191, 0.011, yes, [1.67384171e+02 1.30995952e+02 1.45984443e-01], [2.79366499e+01 9.78549545e+00 3.76851351e-03], [2.75505071e+01 9.44564056e+00 3.58962294e-03],Cellular Process
65007.0, -593.673, 8.896, 6.39, 0.011, yes, [1.25791846e+02 8.41263941e+01 8.38347514e-02], [3.56179578e+01 1.18808798e+01 3.23304208e-03], [3.51260461e+01 1.14825754e+01 3.06741861e-03],Biological Regulation
50789.0, -592.377, 9.046, 6.421, 0.011, yes, [1.20364155e+02 7.81607894e+01 7.68667496e-02], [3.69478637e+01 1.22037577e+01 3.61190759e-03], [3.64280248e+01 1.17884210e+01 3.37302855e-03],Regulation of Biological Process
8152.0, -542.759, 12.383, 7.373, 0.013, yes, [1.00974244e+02 3.79833705e+01 2.06363383e-02], [7.71019063e+01 2.26767664e+01 5.71884829e-03], [7.62318988e+01 2.21111538e+01 5.33113761e-03],Metabolic Process
48518.0, -522.729, 13.234, 7.713, 0.01, yes, [1.06025692e+02 3.65428384e+01 1.55276225e-02], [8.74386090e+01 2.50163841e+01 5.34719555e-03], [7.43861478e+01 1.67643592e+01 5.08048654e-03],Positive Regulation
32502.0, -484.163, 14.711, 8.349, 0.01, yes, [1.17033949e+02 3.59200151e+01 1.05417291e-02], [1.08761272e+02 3.11462433e+01 6.18455107e-03], [1.37035852e+02 4.84423657e+01 1.98635686e-02],Developmental Process
50896.0, -488.311, 14.724, 8.355, 0.01, yes, [1.17290227e+02 3.60438579e+01 1.20488624e-02], [1.09786499e+02 3.17436303e+01 8.32728688e-03], [1.13951019e+02 3.42809858e+01 1.00257617e-02],Response to Stimulus
48519.0, -484.441, 14.724, 8.211, 0.011, yes, [1.16310648e+02 3.34675263e+01 8.56129459e-03], [1.13423774e+02 3.20217920e+01 7.22317699e-03], [1.12575790e+02 3.15143810e+01 6.93255391e-03],Negative Regulation
51179.0, -509.206, 14.635, 8.049, 0.01, yes, [1.15106174e+02 3.15520654e+01 6.01350036e-03], [1.15330582e+02 3.19836311e+01 5.73386550e-03], [31.66212241 17.66151768  0.03841054],Localization
32501.0, -510.022, 15.991, 8.51, 0.01, yes, [1.28350467e+02 3.05119307e+01 5.02429711e-03], [1.30765326e+02 3.22378793e+01 4.91954422e-03], [3.03014026e+02 1.30688224e+02 8.50343696e-02],Multicellular Organismal Process
